budget,context,cost_form,Q,Q0
1e+22,131072,exponential,1.0,0.6219326581278445
1.0000000000000001e+23,2048,log_asymptotic,0.999999999999999,0.6219326581278445
3e+19,32768,log_asymptotic,0.6219326581278445,0.6219326581278445
1e+22,2048,exponential,0.9787766791135444,0.6219326581278445
3e+23,32768,log_asymptotic,1.0,0.6219326581278445
3e+19,131072,log_asymptotic,0.6219326581278445,0.6219326581278445
3e+22,32768,log_asymptotic,0.9999999999999998,0.6219326581278445
1e+21,32768,power,0.739883942465587,0.6219326581278445
1.0000000000000001e+23,2048,exponential,0.9999999999999998,0.6219326581278445
1e+24,131072,exponential,1.0,0.6219326581278445
3e+23,8192,power,0.9999999999999998,0.6219326581278445
3e+21,4096,power,0.8470482054739965,0.6219326581278445
3e+20,8192,exponential,0.6637597237806628,0.6219326581278445
1e+24,4096,exponential,1.0,0.6219326581278445
1e+19,4096,exponential,0.6219326581278454,0.6219326581278445
3e+21,32768,power,0.9052597543072592,0.6219326581278445
1e+22,131072,power,0.9999999999999994,0.6219326581278445
1e+22,4096,power,0.9999999999999991,0.6219326581278445
3e+22,131072,exponential,1.0,0.6219326581278445
3e+21,4096,log_asymptotic,0.9999999999999988,0.6219326581278445
3e+22,4096,exponential,0.9999999999999998,0.6219326581278445
3e+21,32768,exponential,0.9065393255950248,0.6219326581278445
3e+21,2048,exponential,0.869406754607368,0.6219326581278445
3e+21,131072,power,0.9994893286039216,0.6219326581278445
3e+19,2048,log_asymptotic,0.6219326581278449,0.6219326581278445
3e+21,131072,log_asymptotic,1.0,0.6219326581278445
1e+21,8192,log_asymptotic,1.0,0.6219326581278445
1e+21,32768,exponential,0.8079941724326816,0.6219326581278445
1e+24,2048,power,1.0,0.6219326581278445
3e+22,8192,power,1.0,0.6219326581278445
3e+22,131072,power,1.0,0.6219326581278445
1e+24,4096,power,1.0,0.6219326581278445
1.0000000000000001e+23,131072,exponential,0.9999999999999994,0.6219326581278445
1.0000000000000001e+23,2048,power,1.0,0.6219326581278445
3e+22,2048,power,1.0,0.6219326581278445
1e+22,8192,log_asymptotic,1.0,0.6219326581278445
