group_id,coverage_state,publication_blocked,candidate_id,includes_baseline,maximum_regret_loss,maximum_relative_regret,minimax_loss_candidate,minimax_relative_candidate,analysis_purpose,source_version,state,expected_scenario_modes,available_scenario_modes,unique_candidates,common_feasible_candidates,rejected_candidates,baseline_in_common_set,publication_blocked_coverage,minimax_scope,analysis_purpose_coverage,source_version_coverage,budget,context,form,Q0,anchor_count,anchor_sha256,normalize_cost_endpoint,quality_cost_scale,eta_attention,search_protocol.starts,search_protocol.maxiter,search_protocol.seed,search_protocol.solver,search_protocol.max_model_evaluations_per_start
bf97fbfbb03cd314977f,computed_finite_candidate_set,False,f65aa7b90fd5c0387a88,False,1.9984014443252818e-14,8.7678575300664829e-15,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,3e+19,4096,power,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
bf97fbfbb03cd314977f,computed_finite_candidate_set,False,885aac8fa4701ec69446,False,1.2079226507921703e-13,5.2996827737290737e-14,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,3e+19,4096,power,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
bf97fbfbb03cd314977f,computed_finite_candidate_set,False,b1436751ec189bd7915e,False,3.2596148002994596e-13,1.4301349837930662e-13,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,3e+19,4096,power,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
bf97fbfbb03cd314977f,computed_finite_candidate_set,False,f805bdf0ed02cf946d2e,False,6.5725203057809267e-14,2.883650920999643e-14,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,3e+19,4096,power,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
bf97fbfbb03cd314977f,computed_finite_candidate_set,False,1a09e2deff4fd9fde46c,False,3.7791991758240329e-13,1.6580992795747948e-13,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,3e+19,4096,power,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
827a4a70fa3a1398642c,computed_finite_candidate_set,False,fdb1ead078eb1c5da900,False,3.1661784305470064e-11,1.3891403788271333e-11,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,3e+19,4096,log_asymptotic,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
827a4a70fa3a1398642c,computed_finite_candidate_set,False,a9da575bf70658ea3848,False,3.1570746017450801e-11,1.385146132618937e-11,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,3e+19,4096,log_asymptotic,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
827a4a70fa3a1398642c,computed_finite_candidate_set,False,5bfe5b8fdefa3c3f2470,False,3.1411317991114629e-11,1.3781513307226324e-11,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,3e+19,4096,log_asymptotic,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
827a4a70fa3a1398642c,computed_finite_candidate_set,False,415746287b908f0e9ded,False,3.1722180438009673e-11,1.3917902202140342e-11,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,3e+19,4096,log_asymptotic,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
827a4a70fa3a1398642c,computed_finite_candidate_set,False,dcf776e2e52344e636a7,False,3.1654678878112463e-11,1.3888286327816154e-11,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,3e+19,4096,log_asymptotic,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
